TESS_ID,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,warn_plax_err,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
270395617,2M06240602-7815443,apogee.lco25m.synspec_fix.290-28-O_TESS.2M06240602-7815443,1636148068921376768,39.78,1.535,4.52391,0.0703992,61.51212842490381,1.8095755874772568,-0.3034,0.007317126,0.052322,0.006602984,8.719111538404906,8.710619149741435,8.72835425839225,0.9577407120597526,0.947946705124762,0.9668560256136204,0.1805013519538368,0.1799926420437405,0.1810180518545878,1900.8243561259387,1899.1765229049652,1902.6174000893027,-36483.9827338662,-36508.09845511516,-36459.141851914326,-31.17775759460251,-31.53431647301277,-30.801616097211543,245.67755797624065,245.54405585785003,245.8162850496984,30.40645532536689,30.25106222045164,30.553151159829245,2.815481,2.439857,3.185402,1.38275,1.327407,1.453134,10.72649,10.671918,10.977854,1052.138672,1039.462891,1067.490234,3.268913,2.84319,3.747116,1.319434,1.26073,1.380954,10.69921,10.621325,10.817324,1076.035156,1052.910156,1094.765625,False,False,False,False,False,False,False,False,False,True,True,True,True
300512783,2M07282318-6700541,apogee.lco25m.synspec_fix.278-21-O_TESS.2M07282318-6700541,1636148068921376768,5.72,0.35,0.842052,0.0887093,157.80132793694125,8.01560124836733,-0.092716,0.008271085,0.063089,0.0049025686,8.354618940470836,8.324836555365188,8.394342644162371,0.6851319041957808,0.6346723023140057,0.7458629714525774,0.0897098172576227,0.0826440297671977,0.0983230136907089,1829.7850196872096,1823.9507380670093,1837.5595318947585,-39475.58416447524,-39728.99614106734,-39142.98515849832,17.050994019865676,15.455719692095707,18.91857552073449,231.04261323522093,230.3881143898542,231.89774809438552,-10.811231029332989,-11.859498972548373,-9.869233205799407,7.38115,3.321372,14.033077,1.094034,0.9099,1.386696,27.169584,24.832707,30.526203,1591.894531,1506.328125,1702.34375,13.499352,10.360367,17.00115,0.908143,0.855306,0.972116,22.865286,21.515102,24.116258,1398.359375,1367.65625,1428.046875,True,False,False,False,False,False,False,False,True,False,False,False,False
167340620,2M06340684-6657274,apogee.lco25m.synspec_fix.277-26-O_TESS.2M06340684-6657274,1636148068921376768,21.9,1.245,2.5326,0.058067,116.47762166076204,3.341779327693219,-0.052855,0.007391628,0.0042360015,0.005155397,7.447180599959593,7.437442109064864,7.458487061269758,0.3794576387422483,0.361237025008818,0.3960497790876279,0.1171275850736973,0.1145350728170026,0.1194289871102824,1649.6858204658563,1647.7240181421855,1651.9626328420368,-44494.89522402457,-44509.529446533845,-44478.4252059878,-30.445889894280494,-31.10101664659329,-29.716503550299997,207.67948063603905,207.45429012493247,207.9436187930094,3.463767959221262,3.210935381285739,3.711531692850058,1.794551,1.080986,3.105996,1.655744,1.402077,1.956464,16.350607,15.312772,17.479938,837.822266,805.507812,876.630859,1.395061,1.134165,1.783485,1.795863,1.663695,1.916584,16.576576,16.087913,17.091788,860.585938,849.355469,871.884766,False,False,False,False,False,False,False,False,False,True,True,True,True
167165755,2M06264054-7008321,apogee.lco25m.synspec_fix.280-27.2M06264054-7008321,1636148068921376768,37.18,1.775,4.07273,0.0575734,53.12689603020528,1.4869466330236958,0.18482,0.00685292,0.0006830003,0.004321392,8.91367804978686,8.912060303023136,8.915330399755952,0.3636214043822452,0.3576162856132461,0.3704857037950648,0.2083157541569111,0.2066710580991914,0.2101297857326184,1938.4873984811336,1938.174939712855,1938.806528889784,-35663.98147743039,-35703.53954474119,-35621.98029047221,-48.42333511547345,-49.02364976311786,-47.888357089818136,244.7516847222321,244.68838758097377,244.81693012355584,2.249397333894905,2.1151257016870653,2.3727512842422334,5.101365,2.869099,6.819172,1.243722,1.134064,1.495569,10.965235,10.628237,11.588989,602.382812,593.295898,611.21582,4.056642,3.483624,4.709611,1.335306,1.270252,1.404528,10.918598,10.796287,11.061932,604.775391,599.770508,610.004883,False,False,False,False,False,False,False,False,False,True,True,True,True
299943967,2M07063496-6911151,apogee.lco25m.synspec_fix.281-24-O_TESS.2M07063496-6911151,1636148068921376768,33.37,2.135,4.0987,0.0894816,59.51548530361741,2.105962715645117,-0.25419,0.0073349206,0.062669,0.0062679546,6.930348709458526,6.9287989105484025,6.931779649697911,0.403329977536168,0.3972994552225528,0.4097705058446213,0.1296669129559831,0.1293949711917064,0.1299440632154647,1544.5687441759846,1544.250275472402,1544.8627702173876,-47476.00458930883,-47484.28860158988,-47467.28900592903,-17.190164913300624,-17.25147201923275,-17.131802798820765,195.28320229230349,195.25026539558752,195.32063869258832,-16.458772660290446,-16.597583236442603,-16.315744299291573,7.920545,5.494199,12.401968,0.992233,0.891941,1.12036,10.216915,9.827838,10.555258,749.169922,735.791016,761.533203,4.971838,4.151582,6.117734,1.156892,1.081748,1.229781,10.588072,10.449704,10.784848,776.865234,768.847656,786.240234,False,False,False,False,False,False,False,False,False,True,True,True,True
260075417,2M06064633-5802569,apogee.lco25m.synspec_fix.267-29-O_TESS.2M06064633-5802569,1636148068921376768,56.2,1.54,5.46073,0.056381,29.101555613719245,2.126229789835686,0.035969,0.0070976615,0.0039300006,0.004865586,7.686060160094609,7.680893682375872,7.691212261797317,0.2252386888512686,0.2195587610893689,0.2314673968858423,0.0420444869389222,0.0414394535168421,0.0426858272258303,1697.5998510888603,1696.5676762523117,1698.628978061581,-43811.519910190975,-43836.40604114466,-43786.329942753866,-2.3269799298472744,-2.614035656680997,-2.0473867164118085,211.24728388097557,211.10921938887265,211.37434957553768,5.49208226037649,5.218324434631415,5.7948299078114776,4.236624,3.007408,6.088424,1.307505,1.176499,1.444856,9.041515,8.69038,9.390931,482.93457,472.011719,494.321289,8.744045,6.639027,10.85153,1.060167,0.994768,1.144345,8.253414,7.887584,8.586812,439.204102,430.063477,448.276367,False,False,True,True,False,False,False,False,False,False,False,False,False
140595903,2M04331887-7205224,apogee.lco25m.synspec_fix.284-36-O_TESS.2M04331887-7205224,1636148068921376768,75.29,8.35,6.08574,0.0901195,9.455305967246987,0.5266070137860612,-0.16454,0.006806565,0.044783,0.006136925,4.614053691495847,4.554288512122978,4.67197499059608,3.684996801581224,3.5344713009065543,3.8500655980109455,0.3179366253579346,0.3151318265572546,0.3205859521490291,1038.3488035848643,1024.2761854365735,1051.9293898024798,-51022.69582671116,-51151.9221542791,-50877.06622630474,70.12473331861389,67.98687047620831,72.255021085805,133.0050138140311,131.255923464229,134.69375082418898,94.1799280107656,92.0523112489677,96.41515236544872,0.999552,0.712125,1.206973,2.090595,1.905721,2.371478,10.090838,9.778378,10.566288,1258.193359,1232.412109,1289.414062,,,,,,,,,,,,,False,False,True,False,False,False,False,,True,False,False,False,False
350654063,2M05512635-5832428,apogee.lco25m.synspec_fix.267-30-O_TESS.2M05512635-5832428,1636148068921376768,31.04,1.87,3.08448,0.05832,45.07948780281087,1.0346634660805198,0.28597,0.006864658,0.022359401,0.0039112433,6.771391610465542,6.763236842846072,6.779385924231484,0.5111424068959243,0.4911640349066272,0.531335093378307,0.1657692081527779,0.1653576318526861,0.166173967920867,1511.79490858704,1510.1074661364878,1513.4485618426577,-47834.566599977945,-47929.35894268245,-47740.737772835055,17.038656250545838,15.97178223333299,18.09919638102912,186.78357368806175,186.709218803468,186.86419572474765,-5.40028246796597,-5.909887990139168,-4.870373664013093,2.146486,1.343562,3.574906,1.663473,1.42898,1.922473,14.304322,13.502016,15.129654,1021.992188,978.935547,1062.109375,10.225321,9.036918,11.142699,1.015002,0.984776,1.067318,10.543206,10.351319,11.234313,755.341797,744.951172,769.824219,False,False,False,False,False,False,False,False,True,True,True,False,True
167420702,2M06395194-6703332,apogee.lco25m.synspec_fix.277-26-O_TESS.2M06395194-6703332,1636148068921376768,31.31,1.52,4.01234,0.175644,53.83641757531531,1.7418385439647344,-0.27709,0.00747195,0.071184,0.0063150367,8.324580207568765,8.323469678473273,8.32576237561119,0.261076044913212,0.2551729314512911,0.2667741278216506,0.0666794242578925,0.066460601695189,0.0669153417526023,1823.900499924625,1823.6828582930757,1824.1321741736776,-40234.04958891793,-40241.488798566126,-40226.6295729765,-13.158773120793164,-13.214492519341627,-13.10796865523358,229.3782597000613,229.34991164579756,229.40609224664547,1.3000737705446055,1.197951863295081,1.398455431274133,9.544339,6.782435,13.963944,0.947412,0.867506,1.044081,10.130936,9.781865,10.46206,577.875977,566.713867,590.214844,8.241967,7.037305,9.866769,0.98012,0.937325,1.032037,10.197079,10.01098,10.385143,588.31543,580.966797,595.244141,False,False,False,False,False,False,False,False,False,True,True,True,True
309701282,2M05171353-6535171,apogee.lco25m.synspec_fix.275-34-O_TESS.2M05171353-6535171,1636148068921376768,184.22,5.275,14.4095,0.0889166,8.398146085396831,0.2535861632494007,0.23509,0.0067563336,0.038555,0.0042639426,8.24559905728545,8.230185790325082,8.261213159816082,1.0329362143154768,1.0160679612053682,1.049516973967516,0.1108132853369635,0.1095869731772325,0.1120502440771105,1808.405293978872,1805.377448075352,1811.4712722097177,-39383.12405595653,-39424.041064598816,-39339.657929877656,28.48255313068831,27.79402698992101,29.1528475742416,226.6072836637396,226.2374225552969,226.98428613197729,46.29383141098828,45.802931814959045,46.78043107787367,13.846204,10.457463,17.216193,0.965699,0.906161,1.045552,4.316835,4.221431,4.441822,289.938965,285.217285,295.454102,10.074122,8.682416,11.750928,1.05152,1.007311,1.095656,4.204957,4.115099,4.296074,285.061035,281.828613,288.251953,False,False,False,False,False,False,False,False,False,True,True,True,True
375056908,2M06384936-6035403,apogee.lco25m.synspec_fix.270-24-O_TESS.2M06384936-6035403,1636148068921376768,8.92,0.44,1.37934,0.170653,147.10367504382867,5.367987999358272,-0.049488,0.008054528,0.069088995,0.00480987,6.441652410931661,6.429165064665409,6.456166094229985,0.7040035991883329,0.6705473684617538,0.7350466642541787,0.1841813917351114,0.1833160529179697,0.1849124122047604,1443.0616412502009,1440.43769969115,1446.109379142409,-49344.34931236254,-49351.842984692055,-49334.255205743466,4.0832089843844415,3.5802171695990035,4.55462693943988,179.39509304445005,179.01845089456867,179.8330242756351,30.087369433940857,28.901153188254355,31.14573791755767,12.454148,6.822737,17.390177,0.952935,0.866905,1.133663,19.825424,18.815344,21.623869,949.404297,926.044922,979.570312,5.009152,4.114887,6.073588,1.228576,1.154611,1.305461,21.037649,20.415539,21.823985,1050.439453,1035.058594,1066.875,True,False,False,False,False,False,False,False,False,False,False,False,False
260129826,2M06094291-5651399,apogee.lco25m.synspec_fix.265-28-O_TESS.2M06094291-5651399,1636148068921376768,55.14,1.3,5.64609,0.0744769,30.212620664578044,1.0607693816329795,0.023249,0.0072353417,0.039707,0.0048848316,8.36499634760984,8.359131157025628,8.370613775990615,0.8017185188613538,0.7801210918912354,0.8245279927612027,0.2084875896413035,0.2056107064352359,0.2115619336376981,1831.816826101276,1830.66854199688,1832.916434603857,-37859.5110698731,-37960.8049305515,-37754.61938727931,-60.58431004242105,-61.47582136786081,-59.752534052286414,227.02640343547392,226.9250030633299,227.1208266961644,-28.17200451743932,-28.66873037533536,-27.69127986348341,9.9835,7.280715,12.521332,1.026767,0.960899,1.122073,8.122509,7.894514,8.411534,662.060547,650.673828,674.619141,6.575045,5.536625,7.957836,1.150066,1.093548,1.205655,8.306895,8.07401,8.544162,683.457031,674.248047,692.705078,False,False,False,False,False,False,False,False,False,True,True,True,True
300137360,2M07132015-7140188,apogee.lco25m.synspec_fix.283-23-O_TESS.2M07132015-7140188,1636148068921376768,14.82,1.015,1.89803,0.124453,115.67285262239967,3.424104763999877,-0.070587,0.0077554774,0.023889901,0.005046525,8.064001667626888,8.052342542076193,8.075010681618187,0.6312038672959915,0.5849604459151065,0.678395229156083,0.1043641008745666,0.1005864154089318,0.1079136333337021,1772.6474068378425,1770.3452261199357,1774.8204941885092,-40898.36665610882,-41048.17911607948,-40751.1600197671,-29.739647507560065,-30.588459167218744,-28.830668636233508,225.30224193436797,224.85401440428333,225.72503946356764,-25.407418277243373,-26.75360077947521,-24.01701139325145,6.509335,3.236585,12.340924,1.133397,0.941827,1.394773,16.875005,15.494066,18.591647,817.373047,773.652344,864.980469,3.331415,2.60317,4.349451,1.377291,1.27276,1.480909,17.621847,17.054812,18.156749,868.203125,856.689453,879.873047,True,False,False,False,False,False,False,False,False,False,False,False,False
389673315,2M05475941-6729227,apogee.lco25m.synspec_fix.278-31-O_TESS.2M05475941-6729227,1636148068921376768,25.34,2.26,3.31907,0.106441,53.05489961501382,2.0055080743592333,0.11409,0.0072835754,0.036226302,0.0044301534,7.927822348186961,7.926276384250738,7.929486355256461,0.5191205841607075,0.5049656868216725,0.5333063893799967,0.062518475307821,0.0619576187651432,0.0630622036663864,1745.7077530535337,1745.4012854952116,1746.037604911308,-42029.08043587644,-42054.4162896924,-42001.88139809365,-18.708150101504277,-18.867820354924014,-18.54177833044728,219.9638450883965,219.91716923501835,220.01150852733025,-6.5861522565212,-6.743020059439916,-6.425287068021426,12.759538,7.987493,17.295577,0.967741,0.886241,1.108188,11.414486,10.984036,12.055358,944.179688,922.558594,970.566406,6.945087,5.601131,9.244212,1.108329,1.02144,1.190759,10.721179,10.520253,11.023455,918.085938,908.535156,928.535156,False,False,False,False,False,False,False,False,False,True,True,True,True
167693769,2M06510845-6501240,apogee.lco25m.synspec_fix.275-25-O_TESS.2M06510845-6501240,1636148068921376768,34.36,1.37,4.05122,0.0970618,54.62893492173748,1.5693948850858237,-0.26247,0.0073309485,0.054145,0.006314552,7.6876317271173855,7.685663508460517,7.689400243801975,0.4425497958964869,0.4373527895077901,0.4476677271399873,0.0574425892524245,0.0572249531068383,0.0576478357300685,1697.9137885630953,1697.52061306302,1698.267049337792,-43464.86221795273,-43480.92311144949,-43449.38555442388,-15.399728453735875,-15.469384875486556,-15.3259507199049,213.0735581426241,213.03076106718424,213.1135260511279,-9.5670875286697,-9.66323175790179,-9.469854569769176,5.788799,3.373813,7.865429,1.09716,0.991668,1.319527,10.482788,10.179631,11.402543,995.722656,984.189453,1006.708984,6.755516,5.943785,7.762324,1.046039,0.998546,1.093203,10.331165,10.196827,10.489175,985.976562,978.144531,993.974609,False,False,False,False,False,False,False,False,False,True,True,True,True
41176082,2M06055698-7146409,apogee.lco25m.synspec_fix.282-29-O_TESS.2M06055698-7146409,1636148068921376768,36.13,1.73,4.0641,0.04769,49.75233733347296,1.1755103389288075,0.24739,0.0067810602,-0.0066410005,0.004132495,7.099015982324229,7.096600849141752,7.101242686994205,0.4641535694174867,0.4593165728747094,0.4690709679835071,0.0896808642825081,0.0895133908554132,0.0898323973772976,1579.10705988189,1578.6141705836244,1579.561452052028,-46687.89540603168,-46696.4189706054,-46679.66259804728,-1.9578657398515305,-2.1240363538444598,-1.7734400157639512,200.67952847423592,200.6348326468635,200.72072299599495,-10.380525944480445,-10.437257738565714,-10.3300463411516,5.712791,4.660538,7.50082,1.210594,1.113773,1.297863,10.938955,10.645221,11.16976,915.253906,904.863281,924.667969,5.794993,5.030394,6.65463,1.206025,1.15156,1.266996,10.863275,10.700908,11.115596,910.439453,902.568359,919.384766,False,False,False,False,False,False,False,False,False,True,True,True,True
279089666,2M06503881-5812435,apogee.lco25m.synspec_fix.268-23-O_TESS.2M06503881-5812435,1636148068921376768,50.21,1.64,5.04109,0.0753593,52.91745065682896,1.7981940113832469,-0.04566,0.006906227,0.0021340009,0.0054028123,7.277085978996658,7.275697824457897,7.27828836293429,0.2679973471726728,0.2655457360754405,0.2707716644335809,0.1296546061594491,0.1292319172508733,0.1300693124506424,1615.3204537436732,1615.0391053134688,1615.564138675866,-45514.55205402235,-45525.18871622856,-45503.39309467142,-27.6978567938204,-27.87912828933308,-27.52535791870195,200.96830602896569,200.9333252147977,201.00099532344916,-9.036049116021168,-9.106404284728,-8.976441783854689,1.768851,1.622152,1.868581,1.682542,1.65024,1.74924,10.640535,10.563458,10.817152,593.144531,587.612305,599.506836,2.456997,2.028058,3.019325,1.503301,1.420308,1.587439,10.70408,10.416162,10.983017,587.514648,579.414062,595.429688,False,False,True,True,False,False,False,False,False,False,False,False,False
382029438,2M05135324-5934282,apogee.lco25m.synspec_fix.269-35-O_TESS.2M05135324-5934282,1636148068921376768,37.34,1.6,4.45816,0.092205,56.15784553444535,1.2434948414539344,-0.12985,0.007194618,0.02586664,0.0056689577,6.497179232345268,6.495151237913288,6.499215222547664,0.5333909862037922,0.530409748310536,0.5364519878566723,0.1905399469976779,0.1902661995609853,0.1908279245013115,1454.7102566456956,1454.2853621062266,1455.1367850987256,-49222.428473381,-49229.54723210484,-49215.61041821077,-16.5609512464584,-16.636091699093804,-16.491831304586682,180.8930417438954,180.8254081531857,180.95719935568832,-16.2684928943495,-16.35152788735713,-16.178801205310624,3.845986,3.321503,4.512786,1.291569,1.22588,1.355737,10.699774,10.570207,10.824774,763.408203,756.757812,770.136719,4.462861,3.90268,5.064899,1.2329,1.180286,1.289446,10.659016,10.551489,10.782592,759.755859,753.886719,766.103516,False,False,False,False,False,False,False,False,False,True,True,True,True
