K2_ID,K2_campaign,GALAH_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_Fe,alpha_Fe_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_GALAH,drop_K2_dup,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
247193898.0,13.0,161231002101035,1636148068921376768,54.1145,1.44457,5.36276,0.0674921,52.18354394190831,39.953783657109,0.17530346,0.1366174381643604,,,9.634484079665048,9.529939133162978,9.743529070730713,0.4080725616927543,0.3907157496986623,0.4330758791442184,0.0896675266965702,0.0825338231024056,0.0970311086098641,2076.6552700391085,2056.7373809802098,2097.390166334781,-33889.38115647341,-34274.716101021855,-33486.54955029801,19.46337178683437,18.692127403629296,20.225779133341927,202.0368716055113,200.0332249780432,204.0176026321597,5.411656642481575,3.2548616753464654,7.590455859818741,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,,True,False,False,False,True,False,False,False,False
210971624.0,4.0,151111003601393,1636148068921376768,31.5415,0.753758,3.64516,0.0911251999999999,47.43175153815125,5.421221324586538,-0.23844719,0.108893515743026,,,10.609027219723885,10.515739341071487,10.69795817808449,1.3185797308249767,1.237882645684637,1.3980465356811775,0.1433353939078709,0.1393900442771371,0.146961923428034,2260.650483373577,2243.156414714586,2277.3063641366048,-28953.028696305148,-29393.030503528265,-28535.13663066222,9.841581097089264,9.060563660324306,10.640594328974776,239.5504635493599,239.25395511144583,239.8465266955814,33.14171643894398,31.95721893408664,34.372213762275976,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
247514678.0,13.0,170103002301272,1636148068921376768,60.5194,1.15193,5.58739,0.0426148,46.41149157115499,5.973977691160009,-0.03984928,0.1212058709618522,0.0023726091495908,0.0732101479744073,10.320705165781575,10.25373739771701,10.379797057671398,0.6350053380528518,0.6136627551797045,0.6560558817373798,0.1270074422062874,0.1265208670614284,0.1275028555891597,2206.506111295668,2193.8971985008443,2217.6215898340524,-30676.502504938788,-30946.93896639891,-30433.990920745226,-35.47873093145608,-35.56767985131645,-35.38887448413381,210.4879995651996,209.60578474108345,211.39546584712065,11.743007306596962,11.541223255725567,11.955191723481162,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
224682421.0,112.0,160402007701082,1636148068921376768,102.835,1.87215,7.75758,0.0797209,42.902510408348974,4.440449917216442,0.079704285,0.0566547187332077,0.0017956524385325,0.0227071143428749,8.011185917762315,8.003200189394182,8.018703845860342,0.0992803634056372,0.09804667564638,0.1005815149580155,0.1600800963960204,0.1595082825243439,0.1606723687866988,1762.2121927980352,1760.6329639174223,1763.6985668234925,-41068.3674870001,-41105.86108267188,-41032.32208223904,38.65639798613988,38.59151820784913,38.72858331785588,240.54205380454383,240.33097740102156,240.7394226619496,1.8315219651398196,1.7559352798150056,1.9106348941262588,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
247437372.0,13.0,181225002601105,1636148068921376768,96.55,2.07491,7.71403,0.109327,47.75659087751694,6.102016878638887,-0.041038036,0.074847472546694,0.0004769760116906,0.0360284831039689,8.799621078611317,8.792277253814905,8.806974718249569,0.4048368116963052,0.3905744477960072,0.4172197012384322,0.1636045954118934,0.1619985116181709,0.1650238806597752,1916.429623668353,1915.007388355592,1917.8535152053737,-36845.72495508334,-36889.09824141655,-36796.71896548546,46.0616821560634,45.891598202467655,46.208088387639656,208.09870031920173,207.21243748503483,209.14618637757425,-4.64985022995093,-4.861857366808967,-4.453140462690751,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False
212802071.0,17.0,150429002101351,1636148068921376768,24.5266,0.568036,2.8818900000000003,0.0766618999999999,50.29067803603457,6.258802291417574,-0.05976391,0.0536051491329849,0.1654069573388832,0.0230093395433553,8.49221917946997,8.481964665440257,8.501350676954454,1.1769959599136204,1.1238209079002337,1.2323868511967044,0.1720427198008053,0.1682130815383548,0.1759619941502341,1856.6807308394789,1854.6796853669453,1858.462189194659,-37414.07993168243,-37485.99219173157,-37334.787179489824,-22.67314532759346,-23.48813187482467,-21.858273156425465,248.3532870122964,247.89374139332853,248.81872569377887,-5.580188354948824,-5.6647407786397945,-5.492890200773044,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
201878473.0,1.0,150412002101043,1636148068921376768,29.9022,0.931412,3.3871300000000004,0.0622704,46.27515301370086,5.231987894127394,-0.3065319,0.0445748097803442,0.1837560719293108,0.0145560479584811,7.988323407298916,7.9831750335959315,7.993603157619725,1.3235638167113444,1.2881028601939255,1.3592375266603154,0.0426695009999552,0.0405151093322809,0.0449905604119025,1757.6899766832637,1756.6711972250678,1758.73458949569,-40478.172934708506,-40560.73069076365,-40395.52133665233,8.960012952768473,8.37077636477849,9.564944645455093,215.47083373461064,215.32950043287929,215.6089113961604,23.842594435971414,23.60957075642889,24.07764534755886,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,False,False,False,False,True,False,False,False,False
210738733.0,4.0,151009004101218,1636148068921376768,43.0957,0.77475,4.54591,0.0957018,34.26405045870657,4.250572770549527,-0.20268488,0.0657627620671198,0.1115098274799858,0.0310977199973985,11.061336725056073,10.985554151501509,11.133879792859425,1.3684971475643222,1.3214340236520912,1.411837901769319,0.1506280431349717,0.1482871011151625,0.1530870618964085,2345.15928486279,2331.034757926326,2358.667574261096,-27264.582206033894,-27578.812482445705,-26960.518285292703,1.4743937847218538,1.285216724936139,1.6770715925475406,241.63702269506288,241.37105539877172,241.91110015339217,2.1702042304146967,2.021501071974562,2.313808780383232,5.327066,3.968942,6.825659,1.187824,1.101504,1.296327,9.787337,9.443172,10.191382,2000.410156,1948.574219,2056.152344,9.01763,7.448984,11.081841,1.013031,0.95371,1.072095,8.892104,8.571724,9.229993,1822.617188,1780.976562,1865.761719,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
247405045.0,13.0,170103002301021,1636148068921376768,39.785,1.11502,3.48244,0.104006,64.54415592400913,9.510138438598062,-0.23242521,0.1327236187048024,0.063396831427997,0.0834849263140238,9.898909256723396,9.87741130670778,9.920793256616069,0.948978831557522,0.919034706198546,0.9785352363258504,0.208099789281873,0.2039263477741134,0.2124139049885344,2126.867156079086,2122.7934902679563,2131.012456887969,-30967.880931224,-31108.676454726294,-30827.22811710461,40.07640238388122,39.95899432309574,40.19883836879763,179.54740855076227,178.2694386971252,180.78847235086687,10.65970271109971,10.1998935182806,11.156374510626762,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,,False,False,False,False,True,False,False,False,False
204702324.0,112.0,170506004901297,1636148068921376768,60.2234,1.23934,6.15862,0.0520535999999999,24.08032630845348,2.6663216634651428,-0.08857489,0.0542761912152521,0.080161536097111,0.0197464003856696,5.490820848683044,5.410461273543499,5.579319267267407,0.1851187211737302,0.1787862187933836,0.1909755368075332,0.2598362552387143,0.249767476775884,0.2690338377865927,1238.2042008485023,1220.3670507637248,1257.745072828663,-56204.54739038355,-56655.4335717386,-55708.72175926821,-0.9998514281574276,-1.0923046207905651,-0.8986437269541276,167.6339022510768,165.64436300059498,169.80175532791375,-5.589527245800971,-5.9001271254696,-5.25824774792219,12.164559,8.803424,15.773998,0.970844,0.902449,1.062821,7.541538,7.333175,7.799444,616.6699219999999,600.4296879999999,635.1367190000001,11.187443,9.111982,13.432229,0.99042,0.941823,1.047066,7.515894,7.267982,7.737062,616.757812,604.135742,629.521484,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
