KIC_ID,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,EvoState,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
1026452,2M19243452+3647244,apogee.apo25m.synspec_fix.K21_071+10.2M19243452+3647244,1636148068921376768,34.5,0.52,3.967,0.078,2,87.44484350507176,7.165104654275313,-0.25936,0.008934067,0.065832004,0.0076645969999999,6.026635780991459,5.997742625617028,6.056206334381549,0.8857791794675405,0.8389413102720502,0.9370460863547388,0.2804669976179926,0.2729799189033993,0.287757221057233,1354.9627997450716,1348.757577727531,1361.3034079951246,-49887.02551528994,-49971.278891894726,-49791.42300143412,70.70629675448738,68.13939614099175,73.16153893800907,180.91154545880315,179.98495548168708,181.8054537450492,-24.041880389647854,-24.93806692757388,-23.14322775492888,2.778128,2.382952,3.397201,1.406241,1.312652,1.481072,11.710164,11.354803,11.959168,3070.390625,2964.882812,3184.296875,1.73239,1.416817,2.098606,1.654453,1.543666,1.787588,12.107043,11.535284,12.976776,3146.289062,2909.257812,3464.84375,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1027110,2M19250937+3644599,apogee.apo25m.synspec_fix.K21_071+10.2M19250937+3644599,1636148068921376768,6.62,0.19,1.152,0.016,0,163.441030935988,9.74018998926503,-0.31233,0.008730318,0.261465,0.0057306886,6.880028392468222,6.874962621473788,6.8929860119136,0.5033956749322299,0.4720981032077451,0.5335783578427575,0.1236501511272525,0.1211456329262103,0.1258680610394523,1534.217781623377,1533.1745230114068,1536.8852872318903,-47710.46198495163,-47826.28183330657,-47552.686726752014,-30.9064553710366,-32.35032726631177,-29.344304911655733,204.7585754380676,204.41970670822764,205.2210162725976,6.622978653547623,6.455692217977915,6.801114616216546,13.310522,9.437674,17.21918,0.912964,0.849935,1.006545,22.462197,21.825759,23.347524,2593.554688,2445.761719,2771.875,7.435746,5.927805,9.741429,1.055786,0.978152,1.123807,22.372322,21.112778,23.602425,2594.84375,2412.480469,2787.773438,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1027337,2M19252021+3647118,apogee.apo25m.synspec_fix.K21_071+10.2M19252021+3647118,1636148068921376768,74.21,0.68,6.937,0.0139999999999999,1,26.119232064434467,0.9953035837183952,0.18591,0.0068567055,0.0354166999999999,0.004307982,6.7717122562657845,6.757364357936844,6.786180820211951,0.2376858194752901,0.2312365279806663,0.2437957092515187,0.1161754654879541,0.1151437573759636,0.1171609928691255,1511.861246527916,1508.8919143702517,1514.8536554393968,-48926.3915978012,-49003.51154271748,-48849.02156061844,6.525031137519694,6.288431069326475,6.75466668635132,197.3534953441158,197.16187188888188,197.55653243114256,5.401697906835876,5.279703507208304,5.5239310927304,5.515826,4.868146,6.296151,1.246518,1.202999,1.289881,7.614137,7.515273,7.706234,1222.666016,1186.464844,1259.306641,4.103689,3.569901,4.74276,1.348821,1.295421,1.402251,7.569634,7.370057,7.775277,1218.867188,1169.736328,1270.166016,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1160684,2M19232466+3652089,apogee.apo25m.synspec_fix.K21_071+10.2M19232466+3652089,1636148068921376768,26.38,0.97,3.361,0.223,2,62.23623477013656,16.124829684719337,-0.31865,0.011223799,0.080290005,0.009364464,8.188521871425625,8.015015701842563,8.444102415715793,1.026059871104346,0.9060760620661902,1.1751138263908674,0.1010857076420659,0.0862618131314277,0.1190715961659699,1797.186278696834,1762.969423349571,1847.2867233366508,-39758.13363802714,-40909.06645930504,-38187.100704510005,16.667130500312673,13.56570588653562,19.624554978965744,233.1682089808517,231.7332815360712,235.29923358455537,9.083518965557918,8.656242429737704,9.522235842027015,7.740519,4.054692,11.583554,0.981092,0.893803,1.226502,11.194933,10.68678,12.561326,4756.40625,4350.46875,5245.15625,8.414676,4.503431,14.27927,0.959011,0.847717,1.177439,10.269496,9.613839,10.785185,4440.390625,4011.132812,4856.367188,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1160789,2M19233280+3652207,apogee.apo25m.synspec_fix.K21_071+10.2M19233280+3652207,1636148068921376768,24.72,0.62,3.509,0.048,2,55.52079380203244,1.3298009810307343,-0.34246,0.0077765406999999,0.213575,0.006474712,6.675126201539111,6.651266064425531,6.700523639309933,1.020954808635326,0.9473931858973328,1.098220977815472,0.2762231776434609,0.2668448541445516,0.2857646471489535,1491.8359577693896,1486.875616038717,1497.110014339571,-45410.567027208745,-45607.90301681018,-45192.5064759723,-75.67567490984179,-78.93393763466005,-72.52820614286483,191.46591235491016,191.01608434716795,191.949016903836,-46.69600002375868,-48.839332889685295,-44.56215971295811,13.292413,9.867159,16.94915,0.878147,0.83147,0.939012,10.952054,10.718475,11.242232,670.527344,644.824219,699.921875,12.941006,11.339006,14.693612,0.876992,0.850369,0.904379,10.37645,10.182093,10.541435,638.325195,620.566406,655.888672,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1161447,2M19241746+3651460,apogee.apo25m.synspec_fix.K21_071+10.2M19241746+3651460,1636148068921376768,36.18,1.55,4.125,0.057,2,65.82308738148514,3.642142300796086,-0.01733,0.010527922,0.0043650009999999,0.0074780056999999,6.940494791607806,6.934116385067531,6.9486912906564,0.6567378655417038,0.6247910072360148,0.6895576262251073,0.0606338990701041,0.0595561153135023,0.0616151384465925,1546.653155928773,1545.3428789290597,1548.336400413778,-47485.53747086121,-47502.09017090846,-47462.20797600879,5.659671486982459,5.215990384876703,6.085143933191817,205.79617610244176,205.75535629271369,205.8359302866165,-29.613256558289702,-30.88845974705969,-28.33773398050665,5.533489,4.606632,7.027684,1.160436,1.069631,1.23718,10.67636,10.39573,10.858777,2207.460938,2118.4375,2282.246094,2.477972,2.048589,3.06524,1.510439,1.411067,1.608203,11.025123,10.797866,11.663508,2256.210938,2174.882812,2389.179688,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1161618,2M19242614+3648478,apogee.apo25m.synspec_fix.K21_071+10.2M19242614+3648478,1636148068921376768,34.32,0.5,4.1080000000000005,0.0279999999999999,2,48.425178368021214,1.6512348373545709,-0.023574,0.007091146,0.030720402,0.0051384503,6.953032773086896,6.945316955984909,6.9610955804430645,0.7253661003237843,0.6951290557389612,0.758689570815986,0.266786060424351,0.2619094328364628,0.2722253375678197,1549.2277404738518,1547.6435120024994,1550.8826706471816,-44426.063232288696,-44632.42155454269,-44194.91335605189,77.24180549529243,75.35654666323872,79.32924377813809,199.5601552668564,199.2157598418988,199.9193055248809,-32.858146097580686,-33.73962344986942,-32.01099285117026,5.731715,5.249715,6.461626,1.148482,1.104559,1.185427,10.699204,10.547285,10.815463,778.623047,758.017578,798.300781,7.956141,7.165422,8.990918,1.029566,0.989203,1.067793,10.327899,10.202757,10.492012,752.109375,734.0625,771.083984,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1162220,2M19245791+3653298,apogee.apo25m.synspec_fix.NGC6791_btx.2M19245791+3653298,1636148068921376768,11.0,0.32,1.668,0.021,1,95.58130341701764,4.441424699982743,-0.012014,0.008003903,0.098685004,0.0046173735,6.530596705023557,6.508134877406378,6.551751896817176,0.3649280794920331,0.3413557589378234,0.3891984185859042,0.2210518985752609,0.2141623070239387,0.228286702693908,1461.7058120918928,1457.004915089072,1466.1286944702483,-48750.52370357992,-48783.54648955388,-48714.87099478649,53.4279663484191,50.7377798256596,56.210202558627365,191.72556188743405,191.4509006948981,191.94879837678468,-11.791222000850992,-12.395392518093493,-11.171573749783349,14.137155,10.295776,17.709221,0.931942,0.874475,1.019932,17.641409,17.207131,18.276932,1418.183594,1352.1875,1502.871094,9.772539,8.086909,11.965962,1.027991,0.97074,1.084738,17.205818,16.62809,17.807012,1390.039062,1321.640625,1462.050781,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1162746,2M19252639+3649116,apogee.apo25m.synspec_fix.N6791.2M19252639+3649116,1636148068921376768,27.38,0.77,3.703,0.111,2,47.44169240300967,2.003314105832874,-0.4875,0.007930925,0.267925,0.0072079035,3.115472738866744,3.082558252914677,3.1574767293374646,1.1054903882856812,0.9690641825747092,1.2398742754412275,0.6043755398468462,0.6014123674687017,0.6063323666448136,666.7085158500843,658.1394786598801,677.6240604670255,-61368.34757824889,-61744.55883958693,-60961.681973110935,-70.41443094119812,-76.1443797668522,-64.02703794338616,87.50252964625692,86.53503170206672,88.74604454673269,44.29540160720853,40.9170613561336,47.33977838985614,8.739937,6.664633,12.249452,0.950556,0.881817,1.02924,10.83128,10.448021,11.194911,1436.875,1353.59375,1520.039062,17.296451,15.341482,18.878505,0.806904,0.789566,0.830456,9.126311,8.82712,9.429443,1212.060547,1162.177734,1263.984375,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1163114,2M19254564+3650475,apogee.apo25m.synspec_fix.K21_071+10.2M19254564+3650475,1636148068921376768,14.24,0.44,1.898,0.016,1,114.3996221814672,7.799075485637857,0.19153,0.0074325697,0.036306802,0.004059818,8.016227398516124,8.010450048440786,8.03479035683881,0.5896540889483358,0.5479656638465891,0.6351847157447947,0.0807800864384302,0.0795522560636981,0.0830548024241199,1763.2089837834596,1762.0666857094438,1766.8779226781212,-41392.07509668644,-41484.389941012974,-41215.886396359165,-5.364663755781167,-6.254141315675599,-4.446590026979273,235.23106419485012,235.02127895863248,235.59859245050777,2.490506554025565,1.968389680156726,3.0300497103556645,5.633684,3.904849,8.149911,1.24248,1.116609,1.381766,17.904895,17.209564,18.616245,2900.9375,2688.671875,3125.273438,2.996538,2.34143,3.919625,1.485935,1.374102,1.596906,18.435642,17.562553,19.356554,2991.445312,2785.976562,3211.796875,True,False,False,False,False,False,False,False,False,False,False,False,False,False
