K2_ID,K2_campaign,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,drop_K2_dup,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
213643650.0,7.0,2M19161878-2843408,apogee.apo25m.synspec_fix.K2_C7_009-18.2M19161878-2843408,1636148068921376768,25.76,0.76,3.475,0.0819999999999999,43.22956267053264,3.152667209892312,-0.38763,0.009488115,0.200185,0.008433888,6.23176413949852,6.180727694757014,6.283282862592449,1.0487802705962608,1.0302897393473167,1.0680728862658748,0.2473583932652569,0.246022678365198,0.2485256800890451,1398.742020827288,1387.8938111503749,1409.6638957448797,-49138.98551248011,-49483.0793588558,-48796.007233038494,-72.57180342705647,-72.88327844246304,-72.21681306907884,239.32821766900952,239.1514727089424,239.4950504105736,-10.04486321346902,-10.253081800891456,-9.805544846783828,8.725957000000001,6.136948,12.555942,0.962101,0.8818530000000001,1.073327,11.203226,10.843664,11.808596,2304.4140620000003,2259.960938,2354.589844,19.33336,18.859238,19.598291,0.789032,0.781443,0.794456,8.957163,8.747579,9.253283,1875.449219,1854.21875,1899.863281,False,False,False,False,False,,False,False,False,False,True,True,True,False,True
220521199.0,8.0,2M01035182+0714489,apogee.apo25m.synspec_fix.K2_C8_126-55_btx.2M01035182+0714489,1636148068921376768,39.87,1.01,4.586,0.096,57.70566747136641,1.8360960584594896,-0.093577,0.0071616564,0.0076480005,0.0055330675,6.867294434220707,6.8507473645059935,6.882992845780811,0.4695494191367481,0.4635259244162745,0.4759200931935243,0.1526435257013306,0.1506679358742944,0.1547038205050378,1531.5948872977078,1528.1844503142927,1534.8281848995132,-47470.96234536861,-47537.93130854347,-47407.313498765405,0.289844839494177,0.1906919038569965,0.4071298353924052,187.43494184920087,186.98189923603968,187.87277453367105,-15.777087131182322,-16.00146710047548,-15.562977010110648,3.22585,2.888747,3.918765,1.375359,1.291235,1.425318,10.761342,10.528599,10.850884,476.308594,471.704102,481.118164,3.135855,2.776616,3.564042,1.386741,1.329945,1.441731,10.790175,10.708829,10.92714,472.626953,468.00293,477.202148,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
210643642.0,4.0,2M03364372+1734540,apogee.apo25m.synspec_fix.K2_C4_170-31_btx.2M03364372+1734540,1636148068921376768,30.43,0.9,4.1,0.092,48.80855587041263,4.622675084813423,-0.12497,0.010700701,0.0317709,0.0081923185,10.159124435552608,10.130415495967677,10.18725347436054,1.4058110970755673,1.3769307112479503,1.433903400013362,0.0311093384176014,0.0303876775712792,0.0318414900546146,2176.0610695095684,2170.6437435616867,2181.3666015172203,-31108.6335564452,-31244.7539248212,-30974.130867233773,4.761395238492147,4.6534591667171545,4.871883039142034,214.14684534045475,213.74084202729736,214.5783451014157,-16.355610107958555,-16.711604004558843,-15.99271121396567,13.341775,9.904976,17.087646,0.89197,0.8421850000000001,0.956443,9.914709,9.66782,10.200463,2523.6328120000003,2475.9375,2574.492188,13.29942,10.112555,16.861059,0.893499,0.843982,0.954889,9.974777,9.661085,10.351382,2536.542969,2486.484375,2587.070312,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
212667056.0,6.0,2M14075403-0902545,apogee.apo25m.synspec_fix.K2_C6_331+50_btx.2M14075403-0902545,1636148068921376768,122.12,2.27,10.696,0.144,12.279238290866756,0.547641603326141,-0.15782,0.007391272,0.166825,0.0057103913,5.73071109994954,5.666790154315962,5.792020269779939,0.8388981777069784,0.8168997467091901,0.8616150467220623,0.2314403701942752,0.2258995808964796,0.2373207511067513,1290.9309062918128,1276.9557586712428,1304.2858009823742,-53295.15946941712,-53603.99181599949,-53001.50214939191,-33.25355768062558,-33.55369319740649,-32.96476195319394,174.47492934717252,172.964563638388,175.8908313339094,-2.882090331551538,-3.5528956792736994,-2.2387864482664988,11.117574,8.393858,14.525922,0.977901,0.906214,1.059372,5.251129,5.08822,5.429202,1045.341797,1017.099609,1074.785156,12.054815,10.130691,14.429815,0.949519,0.903707,0.996663,5.010422,4.865432,5.160466,1000.537109,982.851562,1018.701172,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
247480777.0,13.0,2M05011373+2202474,apogee.apo25m.synspec_fix.K2_C13_180-12_btx.2M05011373+2202474,1636148068921376768,4.74,0.21,0.988,0.054,,,-0.82219,0.014484753,0.101185,0.014376946,16.11961125385377,15.972523011514664,16.27533717503364,1.7438845635819762,1.7078580144234596,1.7820306309191534,0.1675308519473294,0.1644836046086668,0.1704281080470937,3266.0195353225035,3239.710336606204,3293.848591614999,-13228.98094115211,-13582.594353214074,-12857.99218280331,-13.258022213910596,-13.411871532965003,-13.100283742446406,234.2115505398632,233.71216607721328,234.7598869420593,4.83985477515272,4.188971968987969,5.500941311968387,15.402106,1.02616,18.756235,0.7361300000000001,0.702465,1.869073,23.133291,22.465829,35.593025,6079.84375,5976.640625,6195.46875,,,,,,,,,,0.0,,,True,False,False,False,False,,False,True,False,,,False,False,False,False
247976157.0,13.0,2M04292263+2537501,apogee.apo25m.synspec_fix.K2_C13_173-16_btx.2M04292263+2537501,1636148068921376768,101.06,1.74,8.193,0.113,24.56100787896232,0.9597114356425908,0.06848,0.0067962419999999,0.0046620015,0.004881358,6.977466171840941,6.940370604437252,7.014863414484462,0.246130084286279,0.2384490260513837,0.2534839156349879,0.2075692823732272,0.2017674323414845,0.2133754123255689,1554.2411124308246,1546.6276481289588,1561.904699977753,-46201.59268564735,-46316.98038271215,-46083.26730915771,0.7319319114705132,0.6233639133323992,0.8447769263888132,176.738078438175,175.51856291747623,177.94493254812875,-8.283341692111478,-8.57291743154201,-7.973798958825616,2.054752,1.677961,2.583245,1.618174,1.513087,1.7200369999999998,7.413588000000001,7.205727,7.615460000000001,829.7070309999999,810.7617190000001,847.978516,2.566503,2.216204,2.996807,1.507347,1.442845,1.570263,6.909861,6.725944,7.098777,769.208984,756.855469,782.197266,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
246359379.0,12.0,2M23273960-0153157,apogee.apo25m.synspec_fix.K2_C12_082-57_btx.2M23273960-0153157,1636148068921376768,33.61,0.86,4.069,0.072,51.79194560763292,2.546055875825675,-0.21571,0.0073568164,0.041057,0.006008345,6.736785924138058,6.700922927597856,6.772412407652736,1.1383352505551343,1.114890273890996,1.1619319718758654,0.1945255528269355,0.1898451621660402,0.1992451512733379,1504.629872111996,1497.1928828078865,1512.006096575919,-46402.18834658474,-46497.92776329357,-46307.32087118265,42.81733700480011,41.945263350161625,43.71227194104236,189.38848761007935,188.45908116651836,190.2891890794604,-39.87099641248263,-40.454338131736414,-39.27033456217639,6.352228,5.311030000000001,7.739822999999999,1.07605,1.009648,1.143278,10.473751,10.234413,10.662062,808.740234,794.7070309999999,822.65625,7.766859,6.536579,9.532651,1.009856,0.954389,1.069351,10.273829,10.077316,10.50139,795.351562,781.71875,809.228516,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
248843442.0,14.0,2M11005009+1144068,apogee.apo25m.synspec_fix.240+60.2M11005009+1144068,1636148068921376768,53.78,1.2,5.685,0.0819999999999999,30.74939704608738,3.309542196733244,-0.15203,0.01046932,0.173925,0.0074020996999999,4.753172040473547,4.68587402872072,4.83282245027363,2.154252135522298,2.1010728522038438,2.1994969408396017,0.4194141559725756,0.4100389801795923,0.4272459623683401,1070.8725837992324,1055.1798351806017,1089.348944788117,-51299.71397462284,-51373.95588263952,-51206.440493948,-29.82193616146833,-30.17933263051058,-29.43185518950796,123.1109584730194,121.10767092738698,125.5059634918114,-9.177142432269722,-10.0669518959393,-8.16275995765361,13.205917,10.327681,16.157708,0.93561,0.880149,1.005588,7.825577,7.618539,8.07008,2422.890625,2370.703125,2479.355469,6.871105,1.7006,14.739922,0.847838,0.681876,1.143548,0.903997,0.671259,1.574383,248.225098,181.535645,365.805664,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211503567.0,16.0,2M09050559+1311208,apogee.apo25m.synspec_fix.K2_C5_215+35_btx.2M09050559+1311208,1636148068921376768,38.87,0.89,4.144,0.079,70.26145783118261,4.108517556545322,-0.28289,0.013763066,0.048196003,0.0118416315,7.911924534737548,7.907499756127952,7.91610471810328,0.7866219850553473,0.7743440085617704,0.7980390611345811,0.1014132120793151,0.1003153466975179,0.10237959814052,1742.555519935283,1741.6778961933924,1743.384519954724,-41441.03921396945,-41477.9520792624,-41402.66412038086,9.759023175153027,9.657762942888924,9.857020122062083,196.2223254508664,195.92805889594428,196.5311352510941,1.4719461421372535,1.0604327464313266,1.932389598086293,1.846701,1.449193,2.263106,1.610646,1.500525,1.760922,11.857326,11.509864,12.315521,1304.628906,1284.707031,1326.621094,2.353316,1.955973,2.832982,1.473178,1.388099,1.562397,11.063144,10.756835,11.810638,1208.886719,1182.939453,1247.773438,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
210812212.0,4.0,2M03363496+2003131,apogee.apo25m.synspec_fix.K2_C4_168-28_btx.2M03363496+2003131,1636148068921376768,32.58,0.87,4.085,0.076,57.73083659337002,5.901946032146624,-0.31064,0.012647521,0.069724,0.010666915,10.369478070936154,10.347356578675656,10.392855234295464,1.8049991852356504,1.771730084833205,1.8363726808384695,0.0234160728243147,0.0223386335122127,0.024582754997665,2215.681241366636,2211.520586813684,2220.07658236316,-29890.959798779186,-30000.381643493576,-29774.64041441103,2.2993168840640914,2.165915108108869,2.42571808499124,205.44000693540065,204.95698515623536,205.9391212874964,-26.43210908625111,-26.88710016303017,-25.94645433057575,7.337613,6.008534,9.512305,1.009993,0.943006,1.079175,10.268295,9.999909,10.48417,3208.359375,3156.953125,3257.265625,6.566705,4.801294,9.582223,1.050945,0.941935,1.16504,10.436137,10.122736,10.902348,2887.5,2832.421875,2958.828125,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
212397228.0,6.0,2M13413725-1458377,apogee.apo25m.synspec_fix.K2_C6_320+47_btx.2M13413725-1458377,1636148068921376768,29.97,0.99,4.575,0.094,50.774433175306775,3.119293603700609,-0.41413,0.0077384515,0.238845,0.0069073965,5.282204246931764,5.269317975056779,5.293620396749521,3.584205654557218,3.5747277913427578,3.595286957369701,0.3311841258740411,0.3304984858837648,0.3319535160891046,1191.70887211604,1188.8163804060157,1194.26935006004,-47090.3747180881,-47132.95224081081,-47053.41210730212,-105.86514695823392,-106.2050191252523,-105.53319114933382,163.18629805142604,162.95764647435195,163.38501968168052,80.96081180587966,80.75940845745775,81.13641400670522,17.722292000000003,15.035911,19.176957,0.8154600000000001,0.801285,0.845309,9.310598,9.220166,9.423473,1344.121094,1329.550781,1359.902344,12.278672,9.795786,15.361708,0.888889,0.841578,0.939294,9.836004,9.522868,10.165446,1414.746094,1388.183594,1441.738281,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
204418929.0,2.0,2M16334268-2224396,apogee.apo25m.synspec_fix.K2_C2_356+16_btx.2M16334268-2224396,1636148068921376768,15.05,0.42,1.985,0.059,101.59629835800584,12.828621683024227,-0.96711,0.015578043,0.304075,0.015506363,2.1615697709501385,1.9816830410658208,2.323261449770342,7.724884349541597,7.656144478724011,7.789302184070478,0.351532698243074,0.3428620643865669,0.360765851421722,415.9361993283473,369.29055336697166,458.3318528665488,-52324.203160511184,-52667.31156960239,-51906.68409177499,143.38619294414974,142.06021966338082,144.654901788562,81.58637173771996,74.29122599464286,87.94023959168466,-199.96071919801025,-206.46745348286896,-193.89654594241267,3.288561,2.157468,5.076278,1.248938,1.094711,1.422114,17.112579,16.130539000000002,18.153151,3047.734375,2915.8203120000003,3183.1640620000003,5.289707,3.499303,9.05251,1.06656,0.914178,1.209361,14.110366,12.364252,15.663131,2544.960938,2405.839844,2690.039062,True,False,False,False,False,,False,False,False,False,True,False,False,False,False
220542619.0,8.0,2M01174375+0743290,apogee.apo25m.synspec_fix.K2_C8_133-55_btx.2M01174375+0743290,1636148068921376768,5.91,0.19,0.8740000000000001,0.053,,,-0.051338,0.01379986,-0.0066577,0.08391365,184.62014916147209,175.26728508173025,193.7212963819438,,,,,,,-24812.30087374645,-25707.78259919152,-23875.137052258327,929617.1814025682,882804.339502718,974802.3851628042,-108.39481564843676,-118.1326529192852,-98.4660657696644,-1294.5221678694238,-1324.3302988982505,-1262.3308929189695,-451.2753479015896,-461.0827566892737,-441.4650625438455,0.492583,0.4405989999999999,0.575956,2.806786,2.669559,2.925563,40.850632,39.364085,41.852177000000005,21845.3125,21384.375,22300.9375,,,,,,,,,,0.0,,,True,False,False,False,False,,False,True,False,,,False,False,False,False
247426020.0,13.0,2M04502958+2136304,apogee.apo25m.synspec_fix.K2_C13_180-15_btx.2M04502958+2136304,1636148068921376768,44.75,0.99,4.6160000000000005,0.084,66.50827760942926,4.872145386849141,-0.10916,0.007823616,0.0192619,0.0062609436,9.586656834173136,9.57136639570872,9.60048810077034,0.422109737191257,0.4149976013849426,0.42863348833289,0.024958636778201,0.024241357239385,0.0257442541482086,2067.5480041387864,2064.634706899465,2070.18257603905,-34378.44416051803,-34448.4831879913,-34314.91157454729,-4.537496514523867,-4.599502204058304,-4.482486089138008,219.036690080404,218.81546581324383,219.26195219824504,-10.086656183610032,-10.313028089025474,-9.84403173409377,2.221022,1.881188,2.42323,1.543755,1.501134,1.64525,10.822637,10.768706,11.150339,1485.15625,1470.5859380000002,1505.5859380000002,1.753085,1.447561,2.193232,1.670934,1.548632,1.79052,10.823707,10.543979,11.449899,1483.496094,1458.378906,1513.691406,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
210597322.0,4.0,2M04000974+1655370,apogee.apo25m.synspec_fix.K2_C4_175-27_btx.2M04000974+1655370,1636148068921376768,75.45,1.47,6.977,0.095,30.37370746215784,1.1005060264963635,-0.25575,0.0073676924,0.039792,0.0062418454,9.52814012079049,9.504324487834438,9.549954577034493,0.4678424970367538,0.459699817427146,0.4756063611196367,0.2272252163410851,0.2262983104254421,0.2280766958473911,2056.394294599813,2051.8513639781804,2060.5537097916263,-32542.48510724515,-32665.374213928528,-32429.573600581854,57.85015094964254,57.62575345121362,58.06411955737487,238.29631398114455,238.24038144717463,238.3566475615285,-10.834187846513183,-11.188510465751795,-10.493305986100909,3.226473,2.434029,4.271148,1.340877,1.233939,1.457288,7.765316,7.501332,8.041474000000001,705.693359,685.8789059999999,726.2109379999999,3.263089,2.827643,3.78722,1.331773,1.276287,1.388444,7.556046,7.370441,7.749245,688.671875,677.109375,700.498047,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
211373095.0,5.0,2M08254874+1112291,apogee.apo25m.synspec_fix.K2_C16_214+27_btx.2M08254874+1112291,1636148068921376768,25.59,0.66,3.145,0.064,63.84695665962219,2.523628816348951,-0.28073,0.007874795,0.066433,0.006067638,7.6821109642446945,7.677496359928925,7.686190097616976,0.3541945357061343,0.3481458802915336,0.361562316168196,0.0992592891819193,0.0972767854992989,0.1014574238631264,1696.810884485496,1695.8888523546634,1697.625808130574,-43333.38190947336,-43343.71873190546,-43322.16789301723,8.612228646302503,8.303102522825393,8.88286399827382,199.0767755611249,198.48372764087628,199.60343566853777,8.085861839966011,7.465988449944342,8.672055304546856,6.300286,4.249416,9.358283,1.102548,0.982954,1.237075,12.259772,11.673005,12.885573,688.818359,663.1542969999999,715.7421879999999,5.150034,4.418852,6.081943,1.140997,1.084893,1.19768,10.916809,10.572958,11.524786,640.595703,625.688477,659.033203,False,False,False,False,False,,False,False,False,False,False,True,True,True,True
212526274.0,17.0,2M13534302-1210373,apogee.apo25m.synspec_fix.K2_C6_325+49_btx.2M13534302-1210373,1636148068921376768,68.73,1.33,6.184,0.1,32.78001966545722,1.9286564079360284,-0.20918,0.007523138,0.212925,0.005887025,6.418131498499362,6.350360284785424,6.483557837345274,1.075915634498891,1.050897811147436,1.1024115264222654,0.1241284927961401,0.118579684652583,0.1297306254156241,1438.11791193337,1423.8415625021,1451.855584732479,-49440.13542876193,-49762.52305693632,-49123.81669143165,24.003897108742827,23.536926761791868,24.484525061308723,193.41476827781824,191.92264852677505,194.87812811652688,-30.76735870562444,-31.068800184449263,-30.49221422259301,2.554892,1.945704,3.3950089999999995,1.493284,1.374648,1.6190790000000002,8.667713000000001,8.363451,8.976231,1032.089844,1002.578125,1061.884766,2.824013,2.285013,3.540143,1.438164,1.347807,1.527793,8.07052,7.762294,8.393673,963.730469,940.888672,987.119141,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
